SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YF_SYMBOL
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,360ONE.NS
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,3IINFOLTD.NS
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,3MINDIA.NS
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2,3PLAND.NS
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,5PAISA.NS
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,BE,28-NOV-2022,10,1,INE0D0U01013,10,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,AADHARHFC.NS
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10,AAREYDRUGS.NS
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,AARON.NS
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10,AARTISURF.NS
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10,AARVI.NS
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,AAVAS.NS
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2,ABAN.NS
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,ABB.NS
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,ABCAPITAL.NS
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10,1,INE08PH01015,10,ABCOTS.NS
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2,ABDL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,ABFRL.NS
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1,1,INE00YB01025,1,ABINFRA.NS
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10,ABLBL.NS
ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,10,1,INE251C01025,10,ABMINTLLTD.NS
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,ABREL.NS
